SMILES,tb_score,sa_score,sc_score,smiles
O([C@H]1[C@@]2([C@@H]3[C@H]([C@H]4[C@@](CC3)([C@@](OC(=O)CC)(CC4)C#C)C)CC[C@H]2C[C@@H]1C#C)C)C(=O)CC,0.45199878098361207,5.130986917221112,3.788437138137952,100
O[C@H](C[C@H]1N([C@H](CCC1)CC(=O)c1ccccc1)C)c1ccccc1,1.0,3.1094035318615134,2.9989955230934435,52
C1[C@@H]2[C@@H]([C@@]3([C@@H](Cc4nn(cc4C3)S(C)(=O)=O)C1)C)CC[C@]1([C@H]2CC[C@]1(C#C)O)C,0.4998049187003609,4.812299326586993,3.8518858547006953,87
NS(=O)(=O)c1cc2c(N[C@@H](NS2(=O)=O)C(Cl)Cl)cc1Cl,1.0,3.8830561444173046,3.492798001103205,48
O=C1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC3)C[C@H](O)CC4)C)CC2)CC1)C,1.0,3.958573370751779,1.893473049189415,68
c12c(n(CCC(O)=O)c3c1cccc3)CC[C@H](C2)NS(c1ccc(F)cc1)(=O)=O,0.6799999999999999,2.7815199624218216,4.4042850413067045,58
NC(=O)N1c2ccccc2CC(=O)c2ccccc12,1.0,2.158277148652722,2.642891901894171,31
c1(c2ccccc2)ccc(CNC(N(C)O)=O)cc1,0.84,1.7842566358322112,2.912245724861142,32
c1(c2c(nccc2)n(n1)CCO)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,0.76,2.6024323896567783,3.68089509911626,53
c1(S(NC[C@@H](c2ccc(OCC(O)=O)cc2)C)(=O)=O)ccc(Cl)cc1,0.6799999999999999,2.380859323818408,3.6429946553658232,52
c12c(nc3c(c1)[nH]c([nH]3)=O)ccc(c2)NC(C)=O,0.6799999999999999,2.3360362404715516,3.3802084566282904,42
c1(C([C@@H](NC(C)C)C)=O)sc(cc1)Cl,0.84,2.9555067335345733,2.521792146563937,33
c12C[C@@H]([C@@H](c2cccc1)C)[NH+]C1=NCCO1,0.5426388382371442,4.5022247134708095,3.2374655728251747,41
N12C(=C(c3cccnc3)S[C@@H]1[C@@H]([C@@H](C)O)C2=O)C(OCOC(C)=O)=O,0.6184607828122145,3.7884587158080034,4.612676823114488,62
c12c(c(ncc2)NC)c(n(c(n1CC)=O)CC)=O,0.65,2.4958022391787282,3.890614068632408,34
n12c(c(C(Nc3c4c(ccc3)cccc4)=O)cc2)CS[C@@H]1c1cccnc1,0.65,2.882371148141996,4.158087807441973,51
N12[C@]3([C@@H](S[C@@H]1[C@@H](NC(Cc1ccccc1)=O)C2=O)CC(O3)=O)C(O)=O,0.5963691549891218,4.037529483938602,3.39542842094004,67
N12C(=C(C(C)=O)C[N@@]1C[C@@H](C2=O)NC(\C(c1nc(N)sc1)=N/OCC(O)=O)=O)C(O)=O,0.6149255599136535,3.832729301994284,4.866266273539568,73
c1(C(Nc2nc(CN=C=S)cs2)=O)ccccc1,0.6799999999999999,2.4013163135658786,3.0528756215573365,31
c1(c(nc(OC)nc1C)OC)\C=C\C(N[C@@H](CCSC)C(OC)=O)=O,0.6,3.236525574064326,2.9645374052578743,49
c1(C(OOC(CCCCC=C)=O)=O)ccccc1,0.84,2.194604566263409,2.0987541049915985,29
c12c(OC(O1)(C)C)ccc(c2)CCC,0.92,2.168598928887405,2.5253027505120125,26
C1(C=CN(C=C1)CCN(C)C)(C)C,0.76,3.4600388708879466,2.1247753614831733,25
N1(C(Nc2ccccc2)=O)C=CC(C=C1)(C)C,0.65,2.8960588895328634,2.1941127097288584,32
c12c(Cc3c[nH]cn3)cccc1COC(O2)(C)C,0.76,3.0596876153410277,3.4064472088055275,33
c12ccccc2CC2C[C@H]1C=C[C@@H]2N,0.5444722811452911,4.488066626185848,2.9668717659077184,30
C(\n1ccnc1)(C(c1ccc(Cl)cc1)=O)=C/c1c(cc(Cl)cc1)Cl,0.92,2.466671491772823,2.624429588757909,49
c12c(cc(C#Cc3ccc(C(OCC)=O)cn3)cc1)C(CCS2)(C)C,0.6799999999999999,2.7398789718212786,3.8485019467104578,45
C1([C@@H]([C@@](C[C@@H](C1)O)(C)O)CCCCC[C@@H](C=C)O)(C)C,0.5666174376628098,4.3100452353574195,3.0497533988403682,56
c12c(CCN(C1=O)O)cccc2,0.92,2.17765558855716,2.3370734201358694,21
C12[C@@]34[C@H]([C@H]([C@@H]5CC[N@@](C[C@]15CCC=CCCCCN2)CCCCC=CCC4)c1c2c(c4ccccc4[nH]2)ccn1)O3,0.18514021373511064,6.962110239496548,4.998985620514487,94
c12c(c(c(C#N)c(n1cccc2)=O)SC)C(NC1CCCCC1)=O,0.65,2.6116264691483893,3.7207044521294512,43
c1(n(c(C(NC(C)=O)=O)nn1)C)Cc1c(cccc1F)F,0.65,2.704309207476705,4.017408022888265,39
n1(c2c(cccn2)nc1NN1CCN(C)CC1)Cc1oc(C)cc1,0.65,2.7361323644295776,4.272419593723459,40
c12c([nH]c(c2)C#N)cccc1OC[C@@H](CN1CCN(Cc2ccc(c3ccc(OC(F)F)cc3)cc2)CC1)O,0.6,3.1070633819825844,4.6826131244842575,72
c12c(cc3c(c1)CCO3)C[C@@H]([C@@H](C2)C)N,0.635388557981384,3.5330999366089597,3.68794062452637,39
c1(c(cccc1)C(OCC)=O)Cc1ccc(C[C@@H](NC[C@@H](c2cc(ccc2)Cl)O)C)cc1,0.76,2.871493623402536,3.4591067384483085,64
c12c(nc(s1)C(C)(C)C)cc(OC)c(c2)N=C=S,0.6,2.9557516897281784,3.416589440472089,36
c1(c(c(C)n(c1C)c1ccccc1)CC[C@@H](C[C@@H](CC(=O)O)O)O)c1ccc(F)cc1,0.6476868388054744,3.2111490545022523,4.767018899067257,64
c12c(Nc3ccccc3)ncnc1n(C)cn2,0.92,2.07349396645594,3.1228104218267614,27
c12c(ncn(c1=O)CC(C[C@H]1[C@@H](CCCN1)O)=O)ccc(c2)SC,0.6384405779642403,3.4735789756833064,4.718643799295936,51
c12c(c3c(nc1ccc(c2)OC)CCCC3)NO,0.65,2.343479331317358,3.0245885140479363,30
C1[C@@]2([C@@H](C[C@H](C)[C@H](O2)\C(=C\C)C)OC(C)=O)O[C@@H]2CC=C(C[C@H](C=CC=C3[C@]4([C@H](C(O[C@@H]1C2)=O)C=C(C)[C@H]([C@H]4OC3)OC)O)C)C,0.13674102435107655,7.4143024404973685,4.114525802053495,137
c1(cc(c(N)c(c1)Cl)Cl)[C@@H](CNCCCCCCOCCCCc1ncccn1)O,0.6,3.0765017905985155,4.290138040940695,51
c1(ccccc1OCc1ccccc1)[C@@H]1C(=C(NC(=C1[N+]([O-])=O)C)C)C(OCCCNc1ccc(C=2CCC(=O)NN2)cc1)=O,0.6416258990514928,3.402600690911626,4.164129338994382,88
C1[C@H]2[C@H]3[C@@H](c4c(cc(OC)cc4)CC3)CC[C@@]2([C@H](NCc2cccs2)C1)C,0.6232269649100038,3.7250619677246233,3.452767248820796,68
N1(CC(=CCC1)\C=N\OC)C(Oc1ccc(Cl)cc1)=O,0.6799999999999999,2.721836443164717,3.2369609562061368,38
c1(c(c2ccc(N(C)C)cc2)[nH]c(=O)c(c1)C(O)=O)c1ccc(O)cc1,0.6799999999999999,2.217387181771352,4.041028002345635,53
c1(c(N2CCN(C)CC2)ccc(c1)C)Cc1ccc(OC)cc1,0.92,1.8725425701766305,3.5101660352219475,39
c12c(n(cn2)C)ncnc1NCc1ccccc1,1.0,2.069904250375078,3.4240339052306386,28
c12c(c(c3C(c4cccc(c4C(c3c2O)=O)O)=O)O)[C@@H]([C@](CC)(O)C[C@@H]1O[C@@H]1C[C@@H]([C@H](OC2O[C@H]([C@@H](O)CC2)C)[C@@H](O1)C)N)O,0.4268436622778635,5.292790428178102,4.488621521151156,126
c12n(C3CC3)cc(C(O)=O)c(c1cc(F)c(c2F)N1C[C@@H](OCC1)CN)=O,0.76,3.191392650220997,4.506086468235049,56
c1(ccc(C(O)=O)cc1)OCCCNc1ccc(Cl)cc1,0.84,1.6268005435090929,2.8196015921297546,35
N1(CCCCCC1=O)C\C=C(/C)CC\C=C(\C)C,0.84,2.5745298875303764,2.7737484700485164,33
c1(CN2CCCCC2)cc(ccc1)OC\C=C/CNC(NC)=O,0.6799999999999999,2.289441495132273,4.343553932200618,37
N1([C@H](C(N2[C@@H](CCC2)C=O)=O)CCC1)C(CCCOc1ccc(Oc2ccccc2)cc1)=O,0.6,3.08196422500996,3.5964263653099717,65
c1(OC(COCCOCC[N+](C)(C)C)COCCCCCCCCCCCCCCCCCC)cccnn1,0.84,3.432223763194292,4.127458964548384,52
c12c(oc(c1)[C@@H](c1ccccc1)O)ccc(c2)C[C@@H]1C(NC(S1)=O)=O,0.6799999999999999,3.2183479734807907,4.0649045438215206,57
N12[C@@H](SCC(=C1C(=O)O)CN(c1cc[n+](Cc3ccc(cc3)[N+]([O-])=O)cn1)Cc1cc(c(O)cc1)O)[C@@H](NC(\C(c1nc(N)sc1)=N/OCC)=O)C2=O,0.5397430126008285,4.524281319746088,4.996378832957952,118
C1([C@]2([C@@H](C1(C)C)N(CC)C(NC2=O)=O)F)(C)C,0.582663639221452,4.169199768160804,2.692443285087399,45
c1([C@@H]2[C@@H]3C[N@@](C2)CC3)nc(ns1)N(C)C,0.5251117589300869,4.6331129082601565,3.788937052132956,43
N1(C[C@@H](CC)N)CCCCC1,0.92,2.497409610690534,3.052310742934322,22
c1(c(ccc(c1)O)O)C\C=C(\CC\C=C(\CC\C=C(\CC\C=C(\C)C)C)C)C,0.65,2.9618505017056207,2.571116402798199,56
c12c(C(N(C2)C)=O)cnc(n1)NC(C)C,0.65,2.7210295540759617,3.792147818309344,30
c12c(C(N(C2)C)=O)cnc(n1)N1CCOCC1,0.65,2.5728326728923605,3.8731968726539776,32
c1([C@@H]2CC[C@H](O2)c2cc(c(OC)c(c2)OC)OC)cc(c(OCC=C)c(c1)OC)N=[N+]=[N-],0.6203303952651654,3.7642388643154696,3.1438067027787384,72
C1[N@@](OC(c2ccccc2)=O)CCC=C1\C=N\OCC=C,0.6496512978466894,3.081889522071513,2.712614049035344,39
